C,746.01,746.43,694.73,4294967295,2
L,746.01,89.51,746.01,30.43,4294967295,2
L,775.6,68.88,776.83,40.54,4286545791,2
L,805.11,70.82,807.59,42.58,4286545791,2
L,833.3,83.41,838.86,41.25,4291611852,2
L,863.79,78.54,868.7,50.61,4286545791,2
L,892.8,84.31,898.95,56.64,4286545791,2
L,916.03,111.88,931.32,54.82,4294967295,2
L,949.94,99.62,958.47,72.59,4286545791,2
L,977.97,109.14,987.66,82.49,4286545791,2
L,1001.93,128.59,1018.21,89.29,4291611852,2
L,1032.62,131.78,1044.61,106.07,4286545791,2
L,1059.16,144.87,1072.25,119.71,4286545791,2
L,1074.47,177.51,1104.01,126.35,4294967295,2
L,1110.39,174.46,1125.63,150.54,4286545791,2
L,1135.02,190.88,1151.27,167.65,4286545791,2
L,1153.12,215.88,1179.02,182.14,4291611852,2
L,1181.95,226.92,1200.16,205.18,4286545791,2
L,1204.18,246.41,1223.35,225.5,4286545791,2
L,1210.54,281.91,1252.29,240.15,4294967295,2
L,1246.03,288.26,1266.94,269.1,4286545791,2
L,1265.53,310.5,1287.27,292.28,4286545791,2
L,1276.56,339.33,1310.31,313.43,4291611852,2
L,1301.56,357.43,1324.79,341.17,4286545791,2
L,1317.99,382.05,1341.9,366.81,4286545791,2
L,1314.94,417.97,1366.1,388.43,4294967295,2
L,1347.57,433.28,1372.74,420.19,4286545791,2
L,1360.66,459.82,1386.37,447.84,4286545791,2
L,1363.85,490.51,1403.15,474.23,4291611852,2
L,1383.3,514.48,1409.95,504.79,4286545791,2
L,1392.82,542.5,1419.86,533.97,4286545791,2
L,1380.56,576.41,1437.63,561.12,4294967295,2
L,1408.14,599.64,1435.81,593.5,4286545791,2
L,1413.9,628.66,1441.83,623.74,4286545791,2
L,1409.03,659.14,1451.19,653.59,4291611852,2
L,1421.63,687.33,1449.87,684.85,4286545791,2
L,1423.57,716.85,1451.9,715.62,4286545791,2
L,1402.94,746.43,1462.01,746.43,4294967295,2
L,1423.57,776.02,1451.9,777.25,4286545791,2
L,1421.63,805.53,1449.87,808.01,4286545791,2
L,1409.03,833.72,1451.19,839.28,4291611852,2
L,1413.9,864.21,1441.83,869.12,4286545791,2
L,1408.14,893.22,1435.81,899.37,4286545791,2
L,1380.56,916.45,1437.63,931.74,4294967295,2
L,1392.82,950.36,1419.86,958.89,4286545791,2
L,1383.3,978.39,1409.95,988.08,4286545791,2
L,1363.85,1002.35,1403.15,1018.63,4291611852,2
L,1360.66,1033.04,1386.37,1045.02,4286545791,2
L,1347.57,1059.58,1372.74,1072.67,4286545791,2
L,1314.94,1074.89,1366.1,1104.43,4294967295,2
L,1317.99,1110.81,1341.9,1126.05,4286545791,2
L,1301.56,1135.43,1324.79,1151.69,4286545791,2
L,1276.56,1153.54,1310.31,1179.43,4291611852,2
L,1265.53,1182.36,1287.27,1200.58,4286545791,2
L,1246.03,1204.6,1266.94,1223.76,4286545791,2
L,1210.54,1210.96,1252.29,1252.71,4294967295,2
L,1204.18,1246.45,1223.35,1267.36,4286545791,2
L,1181.95,1265.95,1200.16,1287.69,4286545791,2
L,1153.12,1276.98,1179.02,1310.72,4291611852,2
L,1135.02,1301.98,1151.27,1325.21,4286545791,2
L,1110.39,1318.4,1125.63,1342.32,4286545791,2
